id	query
1	Hurto
2	Robo
3	Robo Agravado
4	Hurto Agravado
5	Acta de imputación
6	Derecho a la defensa
7	Plazo máximo del procedimiento
8	Plazo de la imputación
9	Apropiación
10	Estafa
11	Extradición
12	Prisión preventiva
13	Habeas corpus preventivo
14	Habeas corpus reparador
15	Violación de derechos de menores de edad
16	Violación de derechos de adolescentes
17	Reclusión de condenados
18	Pena privativa de libertad homicidio
19	Pena privativa de libertad coacción sexual
20	control horizontal del proceso
21	incidente de inclusión probatoria
22	la prueba psicológica
23	testimonio de la víctima menor de edad
24	revictimización
25	violencia familiar
26	hecho precedente en lavado de dinero
27	recusación en juicio oral
28	feminicidio
29	abuso sexual en ñiños
30	acoso sexual
31	absolución en incumplimiento del deber legal alimentario
32	el dolo en el incumplimiento del deber legal alimentario
33	Principio de proporcionalidad
34	cómputo de la libertad condicional
35	inclusión probatoria
36	exclusión probatoria
37	trata de personas
38	Excepción de prescripción
39	búsqueda de la verdad
40	desestimación
41	juicio sobre la pena
42	Acusación, nulidad
43	Auto de elevación a juicio, Inapelabilidad
44	Auto de elevación a juicio, Inconstitucionalidad Art. 461 última parte del Código Procesal Penal
45	Carpeta Fiscal, Requisitos
46	Deber Legal alimentario, Incumplimiento
47	Declaración indagatoria, Oportunidad suficiente
48	Declaración indagatoria, Deber del Ministerio Público
49	Declaración indagatoria, Notificación por cédula
50	Declaración indagatoria, Nulidad de la declaración indagatoria
51	Declaración indagatoria, Vicios
52	Derecho a la defensa, Doble instancia
53	Derecho a la defensa, Derecho a recurrir
54	Derecho a la defensa, Violación del Art. 16 de la CN
